Algorithm,Size, Type,Average Time Taken (microseconds)
Wrong Selection Sorting,10000,RAND,409483
Wrong Selection Sorting,10000,ASC,107874
Wrong Selection Sorting,10000,DESC,451439
Right Selection Sorting,10000,RAND,106593
Right Selection Sorting,10000,ASC,107231
Right Selection Sorting,10000,DESC,110570
Insertion Sorting,10000,RAND,55419
Insertion Sorting,10000,ASC,29
Insertion Sorting,10000,DESC,114199
Bubble Sorting,10000,RAND,416836
Bubble Sorting,10000,ASC,20
Bubble Sorting,10000,DESC,476214
